Title,Teks,Media,Label,Link;;;;;;;;
"Saya rasa kami bisa mengimplementasikan apa pun yang kami inginkan asal bisa membuat pikiran para pemain sejalan dengan kami,"""" ujar Kluivert.";;;;;;;;
"Menurut saya, itulah yang terpenting, yakni bagaimana mengomunikasikan hal yang kami inginkan kepada pemain, sehingga pemain bisa sama-sama berupaya mencapai tujuan kita,"""" tambah pelatih asal Belanda.";;;;;;;;
Sementara itu, Patrick Kluivert sudah terang-terangan mengakui dirinya berencana menerapkan gaya permainan menyerang ketika memoles Jay Idzes dan kawan-kawan.;;;;;;;;
Juru taktik Belanda menyebut formasi 4-3-3 bakal jadi preferensi utamanya, dengan para pemain dituntut bisa menguasai bola serta bertindak adaptif di lapangan.;;;;;;;;
"Saya suka menampilkan permainan sepak bola yang menyerang, saya senang kalau tim kami punya ball possession yang bagus,"""" ujar Kluivert pada Minggu (13/1/2025).";;;;;;;;
"Walau begitu, saya juga ingin memastikan para pemain merasa nyaman (dengan sistemnya). Jadi terlebih dahulu saya ingin lihat bagaimana para pemain, setelah itu baru kita implementasikan gaya (yang cocok).""""";;;;;;;;
"Karena dalam bermain sepak bola, sistem bisa saja berubah di lapangan. Apakah itu (formasi) 4-3-3 atau 3-5-2, yang terpenting pemain mengerti apa yang harus dilakukan di momen tertentu. Itulah yang akan membuat perbedaan,"""" tandasnya."",Liputan6.com,Liga Indonesia,https://www.liputan6.com/bola/read/5878808/resmi-dipekerjakan-pssi-patrick-kluivert-ungkap-tantangan-terbesar-latih-timnas-indonesia";;;;;;;;
"Madura United Vs Barito Putera: Bekantan Hamuk Mengamuk, Menang 4-2,""Barito Putera mengamuk di kandang Madura United. Begitu 90 menit laga tuntas, Bekantan Hamuk menang 4-2.";;;;;;;;
Pada pertandingan Liga 1 2024/2025 di Stadion Gelora Bangkalan, Madura, Sabtu (18/1/2025) malam WIB, Barito yang tampil sebagai tim tamu unggul duluan pada menit ke-15 lewat Renan Silva.;;;;;;;;
Umpan Rizky Pora dengan mudah disundul Renan Silva untuk mengubah skor jadi 1-0.;;;;;;;;
ADVERTISEMENT;;;;;;;;
SCROLL TO CONTINUE WITH CONTENT;;;;;;;;
Hanya lima menit setelah gol Barito, Madura United berhasil menyamakan kedudukan menjadi 1-1 lewat gol Pedro Monteiro yang mengoyak jala Barito lewat sepakan keras;;;;;;;;
Barito sempat mengoyak gawang Madura United jelang turun minum. Namun, gol itu dianulir setelah VAR menyebut pemain Barito lebih dulu terperangkap offside.;;;;;;;;
Setelah Madura United vs Barito Putera berimbang 1-1 di babak pertama, pertandingan memanas di babak kedua. Matias Mier membawa Barito unggul lagi pada menit ke-50 berkat tendangan yang tak kuasa dihalau kiper Madura Aditya Harlan.;;;;;;;;
Lucas Morelatto memperbesar keunggulan Barito jadi 3-1 pada menit ke-69. Morelatto dengan dingin menempatkan bola di luar jangkauan Aditya Harlan.;;;;;;;;
Jaime Moreno mencetak gol keempat Barito pada menit ke-82 sekaligus membawa timnya memimpin 4-1.;;;;;;;;
Di menit keempat injury time, Lulinha memperkecil ketertinggalan jadi 2-4 dan bertahan hingga laga usai. Hasil ini membuat Barito keluar dari zona merah, naik ke posisi ke-15 Klasemen Liga 1 2024/2025 dengan 15 poin dari 19 laga.;;;;;;;;
"Madura United terpuruk di posisi ke-17 dengan 12 poin."",Liputan6.com,Liga Indonesia,https://sport.detik.com/sepakbola/liga-indonesia/d-7738885/madura-united-vs-barito-putera-bekantan-hamuk-mengamuk-menang-4-2";;;;;;;;
"Persita percaya diri hadapi Persija,""Jakarta (ANTARA) - Pelatih Persita Tangerang Fabio Lefundes mengatakan para pemainnya dalam kondisi penuh percaya diri untuk menghadapi Persija Jakarta pada laga lanjutan BRI Liga 1 2024-2025 di Jakarta International Stadium (JIS) pada Minggu (19/1).";;;;;;;;
"Pemain-pemain paham apa yang harus dipersiapkan untuk game besok dan penuh kepercayaan diri untuk main bagus besok,"""" ujar Fabio Lefundes dalam konferensi pers yang diikuti secara virtual di Jakarta, Sabtu.";;;;;;;;
Ia mengatakan, jelang bertandang ke markas Persija, tim asuhannya telah melalui persiapan yang cukup baik dalam waktu yang panjang.;;;;;;;;
"Fabio mengaku belum melihat perbedaan permainan Persija karena baru satu kali bermain pada putaran kedua liga, tetapi di putaran pertama, tim """"Macan Kemayoran"""" memiliki ide permainan yang bagus serta memiliki banyak pemain dengan keterampilan yang bagus dalam mengelola si kulit bundar.";;;;;;;;
Ia mengatakan, pada laga mendatang, Persija juga akan bermain dengan dukungan penuh dari para pendukung, tetapi juru taktik asal Brasil itu memastikan timnya sudah siap berlaga dengan menghitung berbagai kondisi yang ada.;;;;;;;;
"Semua pemain lebih suka bermain dengan puluhan ribu penonton dan mereka akan lebih termotivasi. Jadi Persija juga menikmatinya, kami juga menikmatinya dengan suporter yang banyak,"""" kata dia.";;;;;;;;
Lebih lanjut, Fabio mengatakan, saat melawan Persija, timnya tidak akan mewaspadai pemain tertentu saja tetapi semua pemain karena kekuatan tim lawan cukup merata berbagai lini.;;;;;;;;
"Semua pemain kami antisipasi karena ini permainan tim sehingga semuanya akan saling bantu,"""" tutur dia.";;;;;;;;
Fabio menambahkan, penampilan Persija pada laga kandang sejauh ini cukup bagus, namun apa pun bisa terjadi dalam sepak bola. Ia mencontohkan Persib Bandung yang sebelumnya tidak terkalahkan di kandang, akhirnya dapat dikalahkan pada laga berikutnya.;;;;;;;;
"Kalau kami tahu akan kalah, kami tidak akan datang besok, tetapi kami akan datang besok. Jadi kami siap untuk bermain,"""" ujar dia.";;;;;;;;
Persita Tangerang saat ini bertengger di peringat enam klasemen sementara BRI Liga 1 2024-2025 dengan mengoleksi 30 poin, tertinggal empat poin dari Persija Jakarta di peringkat ketiga dengan 34 poin.;;;;;;;;
"Pewarta: Aloysius LewokedaEditor: Michael Teguh Adiputra Siahaan								Copyright © ANTARA 2025"",AntaraNews.com,Liga Indonesia,https://www.antaranews.com/berita/4592530/persita-percaya-diri-hadapi-persija?utm_source=antaranews&utm_medium=desktop&utm_campaign=popular_right";;;;;;;;
"Taklukkan Persib, Dewa United: Buah Kerja Keras,""Dewa United mampu mempermalukan Persib Bandung dalam lanjutan Liga 1. Kemenangan Banten Warriors itu merupakan buah kerja keras.";;;;;;;;
Bertanding di Stadion Gelora Bandung Lautan Api, Jumat (17/1/2025), Dewa United menang atas Maung Bandung dengan skor meyakinkan 2-0. Alex dan Septian Bagaskara menjadi pencetak golnya.;;;;;;;;
Dewa United berhasil mendominasi pertandingan kendati bermain tandang. Lapangbola mencatat penguasaan bola tim asuhan Jan Olde Riekerink itu di angka 64 persen.;;;;;;;;
ADVERTISEMENT;;;;;;;;
SCROLL TO CONTINUE WITH CONTENT;;;;;;;;
Barisan gelandang Dewa United mampu memenangi pertarungan lini tengah melawan Persib. Jaja, Ricky Kambuaya, dan Alexis Messidoro mendominasi Marc Klok cs.;;;;;;;;
Riekerink menjelaskan bahwa para pemainnya saling percaya hingga Dewa United bisa memetik kemenangan atas Persib.;;;;;;;;
"Kalau kami mau membangun rumah, hal yang harus diperhatikan adalah fundamental, fondasinya ialah percaya satu sama lain, kami juga terbuka untuk selalu belajar,""""";;;;;;;;
"Kami mengimplementasikan di latihan dan pertandingan. Kerja keras setiap hari,"""" jelasnya.";;;;;;;;
Dewa United sedang dalam laju baik dalam sembilan pertandingan terakhir. Mereka selalu mencetak gol ke gawang lawan, terakhir kali Dewa United gagal mencetak gol saat kalah 0-1 dari Borneo FC pada 2 November 2024.;;;;;;;;
"Dengan kemenangan ini Dewa United kini menembus posisi keempat klasemen Liga 1. Mereka mengumpulkan 31 poin."",Liputan6.com,Liga Indonesia,https://sport.detik.com/sepakbola/liga-indonesia/d-7738504/taklukkan-persib-dewa-united-buah-kerja-keras";;;;;;;;
"Dijamu Persebaya, Malut Berharap ke Lima Pemain Asing Baru,""Malut United akan dijamu Persebaya Surabaya pada pekan ke-19 Liga 1 2024/25. Laskar Kie Raha berharap pada lima pemain asing yang baru direkrut.";;;;;;;;
Tim asuhan Imran Nahumarury melakukan banyak perubahan dalam komposisi tim untuk putaran kedua Liga 1. Sejumlah lima pemain asing dilepas dan digantikan lima pemain baru.;;;;;;;;
JuniorBrandao, JonathanBustos, SonyNorde,ChechuMeneses, dan WagnerAugusto aliasDida adalah deretan pemain asing yang didatangkan Malut United untuk tampil di putaran kedua.';;;;;;;;
ADVERTISEMENT;;;;;;;;
SCROLL TO CONTINUE WITH CONTENT;;;;;;;;
Imran berharap para pemain tersebut bisa menunjukkan hasil dari proses adaptasi dengan baik saat bersua tuan rumah Persebaya di Stadion Gelora Bung Tomo, Jumat (27/1/2025), pukul 15.30 WIB.;;;;;;;;
"Para pemain asing baru sangat bekerja keras dan termotivasi untuk cepat beradaptasi. Semoga mereka bisa menerapkan strategi yang dipersiapkan dengan baik,"""" kata Imran, dalam pernyataan yang dirilis Malut.";;;;;;;;
Saat ini Malut tengah berupaya bangkit setelah menelan kekalahan dalam dua pertandingan terakhir. Manahati Lestusen Cs kalah 0-1 dari Persija Jakarta dan juga takluk 0-1 dari Madura United dalam dua laga kandang.;;;;;;;;
Di sisi lain Imran menilai Persebaya akan tetap menjadi tim kuat meski tanpa kehadiran beberapa pemain. Gelandang Persebaya, Francisco Rivera kemungkinan tidak bisa tampil karena cedera.;;;;;;;;
"Sepakbola adalah permainan kolektif. Ada atau tidak ada Rivera, Persebaya tetaplah tim kuat dengan kedalaman skuad yang bagus,"""" ujar Imran.";;;;;;;;
Persebaya Surabaya di bawah asuhan pelatih Paul Munster menempati peringkat ke-2 klasemen berkat torehan 37 poin dari 18 laga. Sementara Malut United berada di peringkat ke-12 dengan koleksi 22 poin dari hasil 5 kemenangan, 7 seri, dan 6 kekalahan.;;;;;;;;
"Kami fokus pada tim sendiri. Semua pemain siap. Semoga strategi yang sudah dipersiapkan saat latihan bisa diterapkan dengan baik di pertandingan,"""" tutur Imran yang juga mewaspadai motivasi besar skuad Bajul Ijo usai kekalahan 1-3 dari PSS Sleman.";;;;;;;;
Secara teknis, tim pelatih berusaha memperbaiki sejumlah kekurangan dalam sesi latihan. Tim Malut pun tiba lebih awal di Surabaya guna memaksimalkan waktu latihan dan adaptasi di Kota Pahlawan.;;;;;;;;
Dari segi non-teknis, pelatih berinisiatif melaksanakan kelas psikologi guna mendukung mentalitas pemain. Manahati Lestusen dkk. telah memiliki satu visi untuk tampil dengan kerja keras saat melawan Persebaya.;;;;;;;;
"Pelatih sudah membekali pemain dengan persiapan matang dari segi fisik, mental, dan taktik. Tanpa mengurangi respek terhadap Persebaya, kami yakin bisa meraih poin,"""" ucap pemain Malut Ahmad Wadil.";;;;;;;;
Pertandingan antara Persebaya dan Malut United akan dipimpin oleh wasit asal Korea Selatan, yakni Ko Hyung-jin. Laskar Kie Raha berharap kepemimpinan wasit asing bisa menghasilkan pertandingan yang adil.;;;;;;;;
"Siapa pun wasit yang akan memimpin, kami harus tetap fokus. Semoga laga bisa berjalan adil bagi kedua tim,"""" kata Wadil yang akan mencatatkan debut di pentas Liga 1 bersama Malut United."",Liputan6.com,Liga Indonesia,https://sport.detik.com/sepakbola/liga-indonesia/d-7736662/dijamu-persebaya-malut-berharap-ke-lima-pemain-asing-baru";;;;;;;;
"Nilai Pasar Jay Idzes Naik Terus nih,""Jay Idzes terus tampil starter bersama Venezia di Liga Italia. Sang bek tengah Indonesia itu terus naik nilai pasarnya, terakhir di angka 3 juta Euro.";;;;;;;;
Jay Idzes sudah mencatatkan 18 penampilan di Liga Italia dengan 1.598 menit bermain. Cuma dua kali Idzes absen.;;;;;;;;
Jay Idzes pun selalu bermain penuh 90 menit. Satu gol sudah dicetaknya ke gawang Juventus.;;;;;;;;
ADVERTISEMENT;;;;;;;;
SCROLL TO CONTINUE WITH CONTENT;;;;;;;;
FootyStats melansir statistik Idzes sejauh ini. Pemain berusia 24 tahun itu catatkan total 24 tekel, 14 intersep, 12 blok, dan 66 sapuan.;;;;;;;;
Idzes juga cukup tangguh dalam berduel. Dari total 138 kali, Idzes menangi 63 kali duel plus ada 33 duel udara yang sukses dimenanginya.;;;;;;;;
Transfermarkt melansir, Jay Idzes terus alami peningkatan market value alias nilai pasar. Terbaru per 18 Desember 2024, nilai pasar Idzes ada di angka 3 juta Euro atau setara Rp 50 miliar!;;;;;;;;
Sejak gabung ke Venezia di musim panas 2023, Idzes mulanya punya nilai pasar 900 ribu Euro. Angkanya terus naik ke 1,4 juta Euro, ke 2,5 juta Euro, kini 3 juta Euro.;;;;;;;;
